customer_id,chat_log,channel,message,send_time,reasoning,issue_status
115712,"[Customer]: @116447 - And the issue is still not fixed!  No one can help!  All the info I get is wrong!  I have been a customer for 12 yrs! https://t.co/MQIImu0yiR
[Company]: @115712 I understand how frustrating this is and I'm here to assist. I do apologize that I'm not showing the contact number or private message.
[Customer]: @sprintcare I am not surprised because nothing works when it comes to sprint!
[Customer]: @sprintcare complete ineptness!
[Company]: @115712 Please DM your contact number and Team @116447 will reach out asap to get this resolved.
[Company - RECOMMENDED]: Hi @115712, I'm so sorry you're having trouble getting a response and that your experience with us has been frustrating. I see you've sent several DMs without a resolution. To ensure we address this quickly, I'd like to schedule a call with you to understand the issue better and get it resolved. Would you be available for a brief call in the next hour? Please let me know what time works best for you.",scheduling_phone_call,"Hi @115712, I'm so sorry you're having trouble getting a response and that your experience with us has been frustrating. I see you've sent several DMs without a resolution. To ensure we address this quickly, I'd like to schedule a call with you to understand the issue better and get it resolved. Would you be available for a brief call in the next hour? Please let me know what time works best for you.",2025-01-01T01:45:00Z,"The customer has expressed extreme frustration and has been trying to get help via DMs without success. The conversation is already at 7 messages, indicating a need for a more direct and efficient approach. Given the customer's consistently negative sentiment and escalated complaint history, a phone call is the best way to show empathy, understand the issue thoroughly, and work towards a resolution quickly. Scheduling the call within 1-2 hours reflects the urgency of the situation.",escalated
115730,"[Customer]: hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise
[Company]: @115730 Hopefully we'll get there at some point! -Becky
[Company - RECOMMENDED]: Hey @115730, thanks for the suggestion! We appreciate you thinking of us. I'll pass your request for a Chipotle in Mammoth along to our real estate team. They're always looking for new locations! -Becky",twitter_dm_reply,"Hey @115730, thanks for the suggestion! We appreciate you thinking of us. I'll pass your request for a Chipotle in Mammoth along to our real estate team. They're always looking for new locations! -Becky",2025-01-01T00:13:00Z,"The customer's tweet is product feedback (suggesting a new location). The sentiment is positive. The conversation is short (2 messages). A quick reply on Twitter is appropriate to acknowledge the feedback and inform the customer that it will be passed on. Since the company already replied once, I am updating the message to be more specific and helpful.",resolved
115744,"[Customer]: @AskPlayStation So, what's the november ps plus free game?
[Company]: @115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC
[Customer]: @AskPlayStation @115743 Can I get help already??
[Company - RECOMMENDED]: @115744 We understand your frustration with the wait for the November PS Plus games announcement. We don't have the information yet, but we'll be sure to share it on the PS Blog as soon as it's available. Thanks for your patience!",twitter_dm_reply,"@115744 We understand your frustration with the wait for the November PS Plus games announcement. We don't have the information yet, but we'll be sure to share it on the PS Blog as soon as it's available. Thanks for your patience!",2025-01-01T09:15:00Z,"The customer is expressing impatience on Twitter. A quick, empathetic response on the same channel is appropriate. Given the short conversation length and the nature of the request (information availability), a direct message reply is suitable. The customer's history of negative sentiment suggests acknowledging their frustration is important.",pending_customer_reply
115749,"[Customer]: @marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.
[Company]: @115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied
[Customer]: @marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed
[Customer]: @marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s
[Customer]: @marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!
[Company]: @115749 As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks
[Customer]: @marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.
[Company - RECOMMENDED]: Hi there, we're sorry to hear about the confusion regarding the bag charge at our Colliers Woods branch. We understand your frustration, especially since other stores may have different policies. To ensure we fully understand the situation and provide you with the most accurate information, we'd like to schedule a quick phone call. Would you be available for a call in the next hour? We want to resolve this for you as quickly as possible.",scheduling_phone_call,"Hi there, we're sorry to hear about the confusion regarding the bag charge at our Colliers Woods branch. We understand your frustration, especially since other stores may have different policies. To ensure we fully understand the situation and provide you with the most accurate information, we'd like to schedule a quick phone call. Would you be available for a call in the next hour? We want to resolve this for you as quickly as possible.",2025-01-21T01:00:00Z,"The customer has expressed negative sentiment throughout the conversation and has directly challenged the company's stance after checking with an external source. The conversation has reached 7 messages, indicating a need for more direct and personalized communication. Given the customer's persistent grievance and the potential for misinterpretation of written policies, a phone call is the best way to clarify the situation, address their concerns directly, and potentially offer a resolution. The customer's negative sentiment and the length of the conversation warrant a quick response time.",escalated
115759,"[Customer]: @115758 Why was there a half gig update for world at war?
[Company]: @115759 Good afternoon Jayden, sadly we don't have information on that. Sincerest apologies. ^JP
[Company - RECOMMENDED]: @115759 Hi Jayden, we understand your frustration regarding the World at War update. Unfortunately, we don't have specific details on individual game updates. These are usually pushed out by the game developers. We recommend checking the game developer's official website or social media channels for patch notes and explanations. Hope this helps!",twitter_dm_reply,"@115759 Hi Jayden, we understand your frustration regarding the World at War update. Unfortunately, we don't have specific details on individual game updates. These are usually pushed out by the game developers. We recommend checking the game developer's official website or social media channels for patch notes and explanations. Hope this helps!",2025-01-01T00:02:00Z,"The customer has a simple technical question about a game update. Since the company doesn't have the information, the best course of action is to direct the customer to the game developer's official channels. A quick Twitter reply is suitable for this type of issue and the conversation length is short. The customer's sentiment is neutral, so a straightforward and helpful response is appropriate.",resolved
115762,"[Customer]: @ATVIAssist i pre ordered wwii but how do i get the code?
[Customer]: @ATVIAssist For double xp^
[Company]: @115762 Hello there, I apologize for the delay. Can you clarify where you pre-ordered the game? Please be sure you keep us updated. ^RN
[Customer]: @ATVIAssist I pre ordered my game at game stop
[Company]: @115762 Hey there! You can check out this link for more information in regards to this - https://t.co/OZIlONCLtF ^KO
[Customer]: @ATVIAssist So, when I go get the game on friday my 2xp code will be on the receipt?
[Company]: @115762 Did gamestop give you a code with your pre order down payment that you needed to redeem? ^KO
[Customer]: @ATVIAssist Yes, the beta code
[Company]: @115762 Have you redeemed that on your https://t.co/4YBn633EOk account? Even tho it says beta code, your pre order bonus are linked. ^KO
[Customer]: @ATVIAssist Yes I have, so my code is on their?
[Company - RECOMMENDED]: @115762 Thanks for confirming! If you've redeemed the beta code on your Activision account, the 2XP code should automatically be linked to your account. When you pick up the game on Friday and log in, the 2XP should be active. If it's not, please let us know and we'll investigate further. ^KO",twitter_dm_reply,"@115762 Thanks for confirming! If you've redeemed the beta code on your Activision account, the 2XP code should automatically be linked to your account. When you pick up the game on Friday and log in, the 2XP should be active. If it's not, please let us know and we'll investigate further. ^KO",2025-01-01T01:00:00Z,The customer is asking for clarification on where to find the 2XP code after redeeming the beta code. A quick response via Twitter is appropriate to address this question. The message provides a clear expectation of when the 2XP should be active and offers further assistance if needed.,pending_customer_reply
115763,"[Customer]: @ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!
[Company]: @115763 Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ^CB
[Customer]: @ATVIAssist Seth_tubbs and I am on PS4
[Company - RECOMMENDED]: @Seth_tubbs Thanks for providing that info! We understand it's frustrating to lose your stats. We're looking into your account now. To help us investigate further, could you please confirm the last time you remember your stats being accurate? ^CB",twitter_dm_reply,"@Seth_tubbs Thanks for providing that info! We understand it's frustrating to lose your stats. We're looking into your account now. To help us investigate further, could you please confirm the last time you remember your stats being accurate? ^CB",2025-01-01T04:00:00Z,"The customer's issue is a technical one, but it seems relatively simple at this stage. The conversation is short (3 messages), so a Twitter DM reply is appropriate. Given the customer's negative sentiment pattern, addressing the issue promptly and empathetically is important. Asking for the last time the stats were accurate helps narrow down the potential cause and shows we're actively working on the problem.",pending_customer_reply
115767,"[Customer]: Any help here @AdobeCare? https://t.co/x50e57UG4E
[Company]: @115767 Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ https://t.co/iuwZCjz4Or
[Customer]: @AdobeCare Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...
[Company]: @115767 Hi Jason, could you please try resetting the preferences of Photoshop &amp; let us know if it helps with the issue https://t.co/j3Dj2HDknM   ^SC
[Customer]: @AdobeCare the ctrl+alt+shift on load method didn't work. (2/2)
[Company]: @115767 Sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help ^Madison
[Customer]: @AdobeCare Didn't work. Tried it on another computer, fresh install, same thing...
[Company]: @115767 Would you please DM the Adobe Product &amp; your purchase details that you have so that we can ask our experts to follow up. ^Raj https://t.co/iuwZCjz4Or
[Customer]: @AdobeCare sure thing
[Company - RECOMMENDED]: Hi Jason, I'm really sorry to hear that the troubleshooting steps haven't resolved the issue with the center snapping. Since we've been going back and forth and the problem persists even on a fresh install, it seems like a more in-depth investigation is needed. Would you be available for a brief phone call so we can better understand the situation and potentially screen share to diagnose the problem more effectively? Please let me know what time works best for you. We appreciate your patience.",scheduling_phone_call,"Hi Jason, I'm really sorry to hear that the troubleshooting steps haven't resolved the issue with the center snapping. Since we've been going back and forth and the problem persists even on a fresh install, it seems like a more in-depth investigation is needed. Would you be available for a brief phone call so we can better understand the situation and potentially screen share to diagnose the problem more effectively? Please let me know what time works best for you. We appreciate your patience.",2025-01-01T02:00:00Z,"The conversation has exceeded 7 messages, indicating the issue is not easily resolved through text-based communication. The customer has tried multiple troubleshooting steps without success, and the issue persists even on a fresh install, suggesting a more complex problem. Given the customer's consistently negative sentiment and the technical nature of the issue, a phone call allows for real-time troubleshooting and a more personalized approach, potentially leading to faster resolution and improved customer satisfaction. Escalating to a phone call demonstrates empathy and a commitment to resolving the issue.",escalated
115776,"[Customer]: So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.
[Company]: @115776 Hi Keelin,
Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot? https://t.co/iuwZCjz4Or
[Customer]: @AdobeCare Seems pretty widespread: https://t.co/ImomzTHO5j

Don't mean to be a jerk, but it's frustrating when an update breaks core functionality.
[Company]: @115776 Unfortunately, we are not able to reproduce it at our end. I'll still be checking with the development team to find out more on this. ^OM https://t.co/3giRhN4vNJ
[Customer]: @AdobeCare @115776 It’s intermittent for me. This file fails reliably: https://t.co/6m5a1RQEV9

The “Create subfolder” option just makes an empty “svg” folder
[Company]: @115775 Thanks for sharing the file, we'll get back to you with updates as we investigate. ^Wren
[Company - RECOMMENDED]: @115776 Hi Keelin, thanks for sharing the file. We understand your frustration with the SVG export issue. Our team is actively investigating the file you provided. We'll share updates as soon as we have them. We appreciate your patience!",twitter_dm_reply,"@115776 Hi Keelin, thanks for sharing the file. We understand your frustration with the SVG export issue. Our team is actively investigating the file you provided. We'll share updates as soon as we have them. We appreciate your patience!",2025-01-01T04:00:00Z,"The customer has a negative sentiment and is experiencing a technical issue. The conversation is relatively short (6 messages), so a quick update via Twitter DM is appropriate. Acknowledging their frustration and assuring them that the issue is being investigated addresses their negative sentiment. Providing a specific update (investigating the file) shows that their input is valued. The customer's frequent negative sentiment and technical issues suggest empathy and clear communication are important.",escalated
115785,"[Customer]: @XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??
[Customer]: @XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...
[Company]: @115785 Hi there! We'd recommend reaching out to the chat team here: https://t.co/UrUi80i54l ^JA
[Customer]: @XboxSupport They have no info either..
[Company]: @115785 We'd recommend keeping an eye out on your email that is associated with your account for further info.  ^JA
[Customer]: @XboxSupport Lol so there's no one @115786 who can say when they're going to be shipped...? That's kinda weird
[Customer]: @XboxSupport @115786 When someone @115786 or @15913 @115787 @115788 knows when the xbox one x ships let us know.  Lol shouldn't b a mystery..
[Company]: @115785 @115786 Did you pre-order this console via the Microsoft store? If so, then let's have you reach out here: https://t.co/jY7fDjTzLd ^JA
[Customer]: @XboxSupport @115786 Already did they had me call and no one can answer the question.  I'm not trying to be a jerk but it's nuts no one has a answer..
[Customer]: @XboxSupport @115786 Kinda need to make sure I have 680$ cdn in my bank, so would be nice to know.. I dun just have cash laying around ya know #RealLifeStruggles
[Company - RECOMMENDED]: Hi @115785, I understand your frustration with the lack of information regarding your Xbox One X pre-order. I sincerely apologize for the runaround you've experienced. Since the chat and Microsoft store teams haven't been able to provide a concrete answer, I'd like to schedule a call with you to personally investigate this further and hopefully get you the shipping information you need. Please let me know what time works best for you in the next few hours. We want to help you get this resolved!",scheduling_phone_call,"Hi @115785, I understand your frustration with the lack of information regarding your Xbox One X pre-order. I sincerely apologize for the runaround you've experienced. Since the chat and Microsoft store teams haven't been able to provide a concrete answer, I'd like to schedule a call with you to personally investigate this further and hopefully get you the shipping information you need. Please let me know what time works best for you in the next few hours. We want to help you get this resolved!",2025-01-01T02:00:00Z,"The customer is clearly frustrated and has been given the runaround by multiple support channels. The conversation is already at 10 messages, indicating a need for escalation. Given the customer's consistently negative sentiment and the complexity of the issue (inability to get a straight answer about pre-order shipping), a phone call is the best option to provide personalized attention and attempt to resolve the issue quickly. The message acknowledges the customer's frustration, apologizes for the inconvenience, and offers a direct solution (a phone call to investigate).",escalated
